"Issue Id","Project","Tags","Summary","Reporter","Created","Updated","Resolved","Priority","Type","State","Assignee","Sprints","Story points","Environment","QASE TC # (only for bug)","Description","Votes"
"G21-201","group2.1","","Statistics: Completed tasks are not displayed when taping on 'Statistics' from the dropdown Hamburger Menu","natkona123","30 Dec 2022","30 Dec 2022",,"Minor","Bug","Open","Unassigned","Unscheduled",,"Android 10 Android Studio Dolphin | 2021.3.1 Patch 1 Windows 11 Home 22H2 64-bit","No no qase tc # (only for bug)","**STR:**

1. Launch the application TO-DO-MVP;
2. Create a task and mark the tasks that are completed
3. Tap on the 'Statistics' from the dropdown Hamburger Menu

**Actual Result:** Completed tasks are not displayed when taping on 'Statistics' from the dropdown Hamburger Menu

**Expected Result:** Completed tasks are displayed when taping on 'Statistics' from the dropdown Hamburger Menu","0"
"G21-183","group2.1","","Mobile App Testing Natallia Kuzmiankova","natkona123","30 Dec 2022","30 Dec 2022",,"Normal","Task","Open","Unassigned","Unscheduled",,"No environment","No no qase tc # (only for bug)",,"0"
"G21-200","group2.1","","New TO-DO: Entering Emoji in the 'Title' field a new task is not created after by taping the floating ""✓"" action button","natkona123","30 Dec 2022","30 Dec 2022",,"Normal","Task","Open","Unassigned","Unscheduled",,"Android 10 Android Studio Dolphin | 2021.3.1 Patch 1 Windows 11 Home 22H2 64-bit","No no qase tc # (only for bug)","**STR:**

1. Launch the application TO-DO-MVP;
2. Tap on the floating action button '+' at the bottom of the screen
3. Enter a value in the 'Title' field consisting of Emoji
4. Tap on the floating action button '✓' at the bottom of the screen

**Actual Result:** Entering Emoji in the 'Title' field a new task is not created after by taping the floating ""✓"" action button

**Expected Result:** Entering Emoji in the ""Name"" field is allowed. The new task with the entered Emoji is saved after by taping the floating ""✓"" action button","0"
"G21-199","group2.1","","New TO-DO: Entering special characters in the 'Title' field a new task is not created after by taping the floating ""✓"" action button","natkona123","30 Dec 2022","30 Dec 2022",,"Normal","Task","Open","Unassigned","Unscheduled",,"Android 10 Android Studio Dolphin | 2021.3.1 Patch 1 Windows 11 Home 22H2 64-bit","No no qase tc # (only for bug)","**STR:**

1. Launch the application TO-DO-MVP;
2. Tap on the floating action button '+' at the bottom of the screen
3. Enter a value in the 'Title' field consisting of special characters
4. Tap on the floating action button '✓' at the bottom of the screen

**Actual Result:** Entering special characters in the 'Title' field a new task is not created after by taping the floating ""✓"" action button

**Expected Result:** Entering special characters in the ""Name"" field is allowed. The new task with the entered special characters is saved after by taping the floating ""✓"" action button","0"
"G21-198","group2.1","","New TO-DO: Entering numbers in the 'Title' field a new task is not created after by taping the floating ""✓"" action button","natkona123","30 Dec 2022","30 Dec 2022",,"Normal","Task","Open","Unassigned","Unscheduled",,"Android 10 Android Studio Dolphin | 2021.3.1 Patch 1 Windows 11 Home 22H2 64-bit","No no qase tc # (only for bug)","**STR:**

1. Launch the application TO-DO-MVP;
2. Tap on the floating action button '+' at the bottom of the screen
3. Enter a value in the 'Title' field consisting of numbers
4. Tap on the floating action button '✓' at the bottom of the screen

**Actual Result:** Entering numbers in the 'Title' field a new task is not created after by taping the floating ""✓"" action button

**Expected Result:** Entering numbers in the ""Name"" field is allowed. The new task with the entered numbers is saved after by taping the floating ""✓"" action button","0"
"G21-196","group2.1","","Edit TO-DO: Edited task is not saved after  taping the floating action button ""✓""","natkona123","30 Dec 2022","30 Dec 2022",,"Normal","Bug","Open","Unassigned","Unscheduled",,"Android 10 Android Studio Dolphin | 2021.3.1 Patch 1 Windows 11 Home 22H2 64-bit","No no qase tc # (only for bug)","**STR:**

1. Launch the application TO-DO-MVP;
2. Tap on a previously created task
3. Tap on the floating action button ""🖍"" at the bottom of the screen
4. Make the necessary changes to the task
5. Tap on the floating action button ""✓"" at the bottom of the screen

**Actual Result:** Edited task is not saved after  taping the floating action button ""✓""

**Expected Result:** Edited task is saved after  taping the floating action button ""✓""","0"
"G21-197","group2.1","","TO-DO List: Application crashes when taping on 'refresh' from the dropdown Kebab Menu","natkona123","30 Dec 2022","30 Dec 2022",,"Critical","Bug","Open","Unassigned","Unscheduled",,"Android 10 Android Studio Dolphin | 2021.3.1 Patch 1 Windows 11 Home 22H2 64-bit","No no qase tc # (only for bug)","**STR:**

1. Launch the application TO-DO-MVP;
2. Create a task. The task is displayed in TO-DO List
3. Tap on the 'refresh' from the dropdown Kebab Menu

**Actual Result:** Application crashes when taping on 'refresh' from the dropdown Kebab Menu

**Expected Result:** The page refreshes when taping on 'refresh' from the dropdown Kebab Menu","0"
"G21-195","group2.1","","Edit TO-DO: Typo in title 'Edite TO-DO' when editing a TO-DO by taping the floating action button ""🖍""","natkona123","30 Dec 2022","30 Dec 2022",,"Minor","Bug","Open","Unassigned","Unscheduled",,"Android 10 Android Studio Dolphin | 2021.3.1 Patch 1 Windows 11 Home 22H2 64-bit","No no qase tc # (only for bug)","**STR:**

1. Launch the application TO-DO-MVP;
2. Tap on the floating action button '+' at the bottom of the screen
3. Enter a value in the field 'Title'
4. Tap on the floating action button '✓' at the bottom of the screen
5. Tap on the created task
6. Tap on the floating action button ""🖍"" at the bottom of the screen

**Actual Result:** Typo in title 'Edite TO-DO' when editing a TO-DO by taping the floating action button ""🖍"" at the bottom of the screen

**Expected Result:** The typo is missing from the title ""Edit TO-DO"" when editing TO-DO by taping the floating ""🖍"" action button at the bottom of the screen.","0"
"G21-187","group2.1","","New TO-DO: Typo in popup message ""TO-DO canot be empty"" when adding an empty TO-DO by taping the floating ""✓"" action button","natkona123","30 Dec 2022","30 Dec 2022",,"Minor","Task","Open","Unassigned","Unscheduled",,"Android 10 Android Studio Dolphin | 2021.3.1 Patch 1 Windows 11 Home 22H2 64-bit","No no qase tc # (only for bug)","**STR:**

1. Launch the application TO-DO-MVP;
2. Tap on the floating action button '+' at the bottom of the screen
3. Leave the ""Title"" and 'Body' fields blank
4. Tap on the floating action button '✓' at the bottom of the screen

**Actual Result:** Typo in popup message ""TO-DO canot be empty"" when adding an empty TO-DO by taping the floating ""✓"" action button

**Expected Result:** ""TO-DO can not be empty"" popup appears when adding an empty TO-DO by taping the ""✓"" floating action button","0"
"G21-6","group2.1","","Testing Documentation Natallia Kuzmiankova","natkona123","28 Oct 2022","30 Dec 2022",,"Normal","Task","Open","Unassigned","Unscheduled",,"No environment","No no qase tc # (only for bug)",,"0"
"G21-157","group2.1","","Checkout page: Error alert missing when entering numbers in 'City' field","natkona123","24 Nov 2022","24 Nov 2022",,"Normal","Bug","Open","Unassigned","Unscheduled",,"""Windows 10 Enterprise 64-bit Google Chrome 107.0.5304.63""","No no qase tc # (only for bug)","**STR:**

1. Open the Checkout page <https://demowebshop.tricentis.com/onepagecheckout>
2. Select a 'New address' from the drop-down list
3. Enter the numbers in the 'City' field
4. Click on the 'Continue' button

**Actual Result:** Error alert missing when entering numbers in 'City' field

**Expected Result:** The message 'Wrong City!' appears","0"
